country,currency,area,total,hotel_perc,
Anguilla,E.C. Dollar,All Areas (15 Dec. - 14 Apr.),540 ,61,
Anguilla,E.C. Dollar,All Areas (15 Apr. - 14 Dec.),400,51,
Antigua,E.C. Dollar,Antigua,256,62,
Argentina,Argentine Peso,Buenos Aires,316,57,
Argentina,Argentine Peso,Bariloche and Ushuaia,394,53,
Argentina,Argentine Peso,Cordoba and Mendoza,227,44,
Argentina,Argentine Peso,Mar del Plata and Neuquen,247,47,
Argentina,Argentine Peso,Elsewhere,176,34,
Armenia,Armenian Dram,Yerevan,163,64,
Armenia,Armenian Dram,Elsewhere,107,55,
Aruba,N.A. Gulder,All Areas (15 Apr. - 15 Dec.),312,57,
Aruba,N.A. Gulder,All Areas (16 Dec. - 14 Apr.),414,64,
Australia,AUL Dollar,"Canberra,Melbourne & Sydney",316,57,
Australia,AUL Dollar,Darwin,311,54,
Australia,AUL Dollar,Elsewhere,309,50,
Austria,Euro,All Areas,300,46,
Azerbaijan,Azerbaijan Manat,Baku,249,60,
Azerbaijan,Azerbaijan Manat,Baku  (Hyatt Park and Meridian),365,66,
Azerbaijan,Azerbaijan Manat,Elsewhere,103,61,
Bahamas,Bahamian Dollar,All Areas (20 Dec.-20 Apr.),306,65,
Bahamas,Bahamian Dollar,All Areas (21 Apr.-19 Dec.),274,63,
